UserId	image1 initial answer	image2 initial answer	image3 initial answer	image1 final answer	image2 final answer	image3 final answer	image1 neighboring answers	image2 neighboring answers	image3 neighboring answers
A389TXR3TXN3NM	500000	15000	15000	25000	10000	9500	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"10500,9000,10000,7000,9500,7000,7000,11000,7000,8500,"	"10000,11000,7000,10500,7000,"
A11RF5IYJQL5B	89952	54632	63251	93653	56232	63215	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A5RO4R3JSJ6JN	100000	50000	55000	100000	50000	55000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A25JVQ5GJRGMM1	4000	5500	3800	7500	7700	4200	"8400,10400,12000,8100,9700,8000,12000,8300,12000,8200,10700,11000,10500,12000,18000,9500,10200,12000,10000,12000,"	"10000,11500,10500,13500,11000,13500,13500,9500,13500,12000,"	"8800,7800,11800,8300,11800,"
A1HEGBZOH8L5UR 	90000	20000	15000	30000	15000	11000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"10000,11000,7000,10500,7000,"
 A3LR46VY9QL148	100000	10000	10000	23300	6000	5500	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"5500,4000,5000,2000,4500,2000,2000,6000,2000,3500,"	"5000,6000,2000,5500,2000,"
AN6CLA8F8NZF2	78088	58088	38088	78088	58088	38088	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A3485IQYNO94GA	500000	500000	500000	500000	500000	500000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A1GY4Z89KWHWZB	750	950	3000	1400	1200	3000	"4750,4850,4950,5050,5150,6250,6450,6750,6950,7150,7250,7450,7750,8750,8750,8750,8750,8750,8750,14750,"	"4950,5450,5950,6450,6950,7450,8950,8950,8950,8950,"	"7000,7500,8000,11000,11000,"
A1C45PPIFCTLK1 	90000	50000	80000	24000	15500	15500	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A3CB0SM114NJVL	99999	50000	30000	50000	50000	30000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
 AMKWR51EXOPA4 	0	0	0	90000	0	0	"4000,4100,4200,4300,4400,5500,5700,6000,6200,6400,6500,6700,7000,8000,8000,8000,8000,8000,8000,14000,"		
 AXTPGA1CX5BYX	995000	60000	12500	250000	13000	8500	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"7500,8500,4500,8000,4500,"
A2UXKLJVZM5FSG	88888	44444	12000	22000	12000	8000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"8000,7500,7000,4000,4000,"
A1MTORNOU8G39	5400	5900	11600	12000	10000	6000	"9800,11800,13400,9500,11100,9400,13400,9700,13400,9600,12100,12400,11900,13400,19400,10900,11600,13400,11400,13400,"	"10400,11900,10900,13900,11400,13900,13900,9900,13900,12400,"	"6600,7600,3600,7100,3600,"
A2YM7PJ6OSMSR9	100000	25000	10000	25900	15000	10000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"5000,6000,2000,5500,2000,"
A2EUY3OCVFQPNQ	30	3	2500	8000	4	4	"4030,4130,4230,4330,4430,5530,5730,6030,6230,6430,6530,6730,7030,8030,8030,8030,8030,8030,8030,14030,"	"4003,4503,5003,5503,6003,6503,8003,8003,8003,8003,"	"6500,7000,7500,10500,10500,"
AP9V6D1JRAUCP	86520	15000	1250	23850	9250	5150	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"11000,10500,10000,9500,9000,8500,7000,7000,7000,7000,"	"5250,5750,6250,9250,9250,"
A2S4XDBRGCVWOT	99999	30000	25000	80000	20000	15000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A1SFXNAT8KWG3X	100000	5000	20000	25000	12000	15000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"9500,11000,10000,13000,10500,13000,13000,9000,13000,11500,"	"15000,16000,12000,15500,12000,"
ADHK16IBA0IC6	60000	16000	12000	24000	12000	8000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"11500,10000,11000,8000,10500,8000,8000,12000,8000,9500,"	"7000,8000,4000,7500,4000,"
A1MBG9B3REVID5	0	70000	65000	8000	13500	16000	"4000,4100,4200,4300,4400,5500,5700,6000,6200,6400,6500,6700,7000,8000,8000,8000,8000,8000,8000,14000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
AQ4PB1PVI9U7V	99000	15000	14000	25800	11000	10000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"11000,10500,10000,9500,9000,8500,7000,7000,7000,7000,"	"10000,9500,9000,6000,6000,"
A2OJ5XOEKTKRR9	70000	12000	6000	60000	9000	8000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"8000,7500,7000,6500,6000,5500,4000,4000,4000,4000,"	"10000,10500,11000,14000,14000,"
A1ZT23GCNIEZKE	75000	20000	0	30000	17000	10000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"5000,4000,8000,4500,8000,"
 AUBC0HIVKBOTF	99999	2000	5000	50000	3000	5000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"6000,6500,7000,7500,8000,8500,10000,10000,10000,10000,"	"9000,9500,10000,13000,13000,"
A29CPTGC7FNLTB	850000	30000	40000	39000	25000	20000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A3RZ9X81J6R2AR	10000	12000	9000	15000	7500	5000	"14400,16400,18000,14100,15700,14000,18000,14300,18000,14200,16700,17000,16500,18000,24000,15500,16200,18000,16000,18000,"	"7500,6000,7000,4000,6500,4000,4000,8000,4000,5500,"	"4000,5000,1000,4500,1000,"
 A1K2W5KR8TP0NC	99999	18000	10000	23000	12000	5000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"13500,12000,13000,10000,12500,10000,10000,14000,10000,11500,"	"5000,6000,2000,5500,2000,"
A3IL3HGJW7K6Q1	85000	6000	7000	21000	12000	9000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"10500,12000,11000,14000,11500,14000,14000,10000,14000,12500,"	"12000,11000,15000,11500,15000,"
kprabhaamazon@rediffmail.com	99999	75000	79600	90000	78900	16000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A30V1UH00MWJU5	18500	12000	9000	22400	8000	7000	"14100,12100,10500,14400,12800,14500,10500,14200,10500,14300,11800,11500,12000,10500,4500,13000,12300,10500,12500,10500,"	"7500,6000,7000,4000,6500,4000,4000,8000,4000,5500,"	"4000,5000,1000,4500,1000,"
A3I4NM85R4LN97	10000	2400	5500	12000	3000	5500	"14000,14100,14200,14300,14400,15500,15700,16000,16200,16400,16500,16700,17000,18000,18000,18000,18000,18000,18000,24000,"	"6400,6900,7400,7900,8400,8900,10400,10400,10400,10400,"	"9500,10000,10500,13500,13500,"
A2MI2AI5PM4GLK	75000	23000	20000	0	0	0	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A28EMH5I7H3ZX4	70000	12000	7000	22000	8000	7500	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"7500,6000,7000,4000,6500,4000,4000,8000,4000,5500,"	"12000,11000,15000,11500,15000,"
A3TVDFJ22T1FFN	80000	35000	30000	26000	16000	16300	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
 A1P2EVJXWYR94M	120000	20000	17800	29867	17900	21000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"13800,13300,12800,9800,9800,"
A3DFCGAXJHV1P9	30000	16000	30000	24000	12000	18000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"12000,11500,11000,10500,10000,9500,8000,8000,8000,8000,"	"16000,15500,15000,12000,12000,"
A3MRHNSA1YP7R0	1250000	29800	29500	24500	13500	14000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A31VJJG79G4TBQ	95000	21000	9500	25500	14500	5250	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"5500,5000,4500,1500,1500,"
A2O5PN17VNYXI0	99999	40000	20000	22000	12000	12000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A2IHGIKDQAQJR0	100000	15000	15000	30000	15000	15000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"11000,10500,10000,9500,9000,8500,7000,7000,7000,7000,"	"11000,10500,10000,7000,7000,"
A199PKW9OWJOQV	10000	5000	0	15000	5000	0	"14000,14100,14200,14300,14400,15500,15700,16000,16200,16400,16500,16700,17000,18000,18000,18000,18000,18000,18000,24000,"	"9000,9500,10000,10500,11000,11500,13000,13000,13000,13000,"	
A12EP4VS5X2WQP	99999	10000	40000	99999	5000	20000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"5500,4000,5000,2000,4500,2000,2000,6000,2000,3500,"	"15000,16000,12000,15500,12000,"
AE66QQT2W0E1G	50000	40000	30000	50000	40000	30000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A30J7HHGC1FGY5	100000	30000	15000	30000	15000	12000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"10000,11000,7000,10500,7000,"
A1DRFDGG2KCOI2	99000	22000	20000	55000	18000	16000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A2QX30PEG8W87U	80000	5000	65000	24000	9000	13000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"9500,11000,10000,13000,10500,13000,13000,9000,13000,11500,"	"15000,16000,12000,15500,12000,"
A2QYIIYOACAW9	99999	65000	25000	50000	75000	30000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A1SRI5PDX6WB9B	1000000	26000	20000	25000	20000	20000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A3N3K07MX8ZUOL 	5255	0	0	10788	0	0	"9255,9355,9455,9555,9655,10755,10955,11255,11455,11655,11755,11955,12255,13255,13255,13255,13255,13255,13255,19255,"		
A1WBNXHNLL5JFX	10000	10000	50000	18000	6000	15000	"14400,16400,18000,14100,15700,14000,18000,14300,18000,14200,16700,17000,16500,18000,24000,15500,16200,18000,16000,18000,"	"5500,4000,5000,2000,4500,2000,2000,6000,2000,3500,"	"15000,16000,12000,15500,12000,"
A1U2MCWQDHNTII	999999	90600	74500	55400	64600	25000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A2A0D1IO0Z4IR2 	5000	2000	3500	5000	2000	3500	"9400,11400,13000,9100,10700,9000,13000,9300,13000,9200,11700,12000,11500,13000,19000,10500,11200,13000,11000,13000,"	"6500,8000,7000,10000,7500,10000,10000,6000,10000,8500,"	"8500,7500,11500,8000,11500,"
A2JJKY9R3KG2I1	37845	12546	7656	32000	12345	7656	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"8046,6546,7546,4546,7046,4546,4546,8546,4546,6046,"	"12656,11656,15656,12156,15656,"
A2KDCANVN4H2EK	90000	70000	50000	95000	80000	0	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A214IHLFLUI719 	10255	14555	12850	14555	12550	9550	"14255,14355,14455,14555,14655,15755,15955,16255,16455,16655,16755,16955,17255,18255,18255,18255,18255,18255,18255,24255,"	"10555,10055,9555,9055,8555,8055,6555,6555,6555,6555,"	"8850,8350,7850,4850,4850,"
ARX78WUC6UXWB	99999	899999	89999	99999	89999	89999	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
AZ7TTELADBFM6	96566	87000	67000	78000	59000	70000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A112V6HAH568DI	90000	30000	15000	75000	25000	12000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"11000,10500,10000,7000,7000,"
A3MSNKSYSOP75Z	56233	27580	18700	25900	14500	14200	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"13700,14700,10700,14200,10700,"
A8SCDARA72QU5	99998	35000	20000	26000	20000	13500	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A1V2L1BKMTNU46	6500	17800	75000	16000	0	15000	"10500,10600,10700,10800,10900,12000,12200,12500,12700,12900,13000,13200,13500,14500,14500,14500,14500,14500,14500,20500,"	"13800,13300,12800,12300,11800,11300,9800,9800,9800,9800,"	"16000,15500,15000,12000,12000,"
ALFBBRNBNW31B	7200	12000	12000	22000	12000	12000	"11600,13600,15200,11300,12900,11200,15200,11500,15200,11400,13900,14200,13700,15200,21200,12700,13400,15200,13200,15200,"	"7500,6000,7000,4000,6500,4000,4000,8000,4000,5500,"	"7000,8000,4000,7500,4000,"
A1YK5BEUKS3S1W	100000	10000	7500	25000	5000	15500	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"6000,5500,5000,4500,4000,3500,2000,2000,2000,2000,"	"11500,12000,12500,15500,15500,"
A997OZ3H2B3Q2	50000	16000	15400	30000	12000	11500	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"11500,10000,11000,8000,10500,8000,8000,12000,8000,9500,"	"10400,11400,7400,10900,7400,"
ATZ32H3UZ6747	75000	5000	15000	45000	7500	12000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"9500,11000,10000,13000,10500,13000,13000,9000,13000,11500,"	"10000,11000,7000,10500,7000,"
A31RH56FZB0XFZ	99999	344535	345556	30788	45666	0	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
AMUC6OI4A2GY4	750000	0	0	0	0	0	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"		
A2DTTNGUXTEGHQ	60000	12000	0	25000	6000	0	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"7500,6000,7000,4000,6500,4000,4000,8000,4000,5500,"	
A14WLAP6TCEKO0	88000	17000	11000	24500	12000	9000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"12500,11000,12000,9000,11500,9000,9000,13000,9000,10500,"	"6000,7000,3000,6500,3000,"
A14M8YXYPV1N1I	75000	20000	30000	50000	20000	28000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A7J4Y6FOPZ8YV	15000	6800	9800	12500	8000	8500	"10600,8600,7000,10900,9300,11000,7000,10700,7000,10800,8300,8000,8500,7000,1000,9500,8800,7000,9000,7000,"	"11300,12800,11800,14800,12300,14800,14800,10800,14800,13300,"	"4800,5800,1800,5300,1800,"
 A3HIIRTGJUJZ1D	80000	30000	20000	70000	25000	20000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
ATIGCUKIPNWG0	2000	1500	5300	5640	4300	9800	"6400,8400,10000,6100,7700,6000,10000,6300,10000,6200,8700,9000,8500,10000,16000,7500,8200,10000,8000,10000,"	"6000,7500,6500,9500,7000,9500,9500,5500,9500,8000,"	"10300,9300,13300,9800,13300,"
AVQ23YRFWZKHH	85621	0	0	0	0	0	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"		
ABV489JL34WPR	99999	28000	15000	24000	28000	15000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"10000,11000,7000,10500,7000,"
A3FPQGM967TJER	99999	80000	90000	99999	80000	90000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A1XT59Y7H5AOQD	90000	25000	20000	90000	25000	20000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
 A7SSVS8LZUOCU	100000	100000	18000	100000	16500	14000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"13000,14000,10000,13500,10000,"
A14VE969ZDUNPO	25000	23000	18000	20800	16000	14000	"21000,20900,20800,20700,20600,19500,19300,19000,18800,18600,18500,18300,18000,17000,17000,17000,17000,17000,17000,11000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"14000,13500,13000,10000,10000,"
 A18IDQ6DKR1KFN	99998	23000	1300	30400	15550	5600	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"5300,5800,6300,9300,9300,"
A1E9VI5RSZI31F	100000	30000	25000	45000	20000	18000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A25HZYQWMU6HQ0	100000	90000	95000	100000	90000	95000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
A3DN99QMIS1RJ5	100000	25000	35000	26500	17000	17000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A3FW9NWR6TJ4M9	99999	68900	74000	0	65000	65000	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
